pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,4/15/23,81.3,-2.81,5.28,"Ottavino, Adam",668843,493603,strikeout,swinging_strike,,,,,14,Conner Capel strikes out swinging.,R,L,R,OAK,NYM,S,2,,3,2,2023,1.64,0.31,0.03,1.21,642180,676116,,2,8,Bot,,,,,682626,,,3.240385139,-118.2866678,-3.026907983,14.53656872,26.14995244,-28.91369674,3.39,1.67,,,,81.6,2804,6.9,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.65,,,0,1,0,0,,66,8,Sweeper,2,3,2,3,3,2,2,3,Strategic,Standard,72,-0.168,-0.628
ST,4/15/23,79.1,-2.78,5.37,"Ottavino, Adam",668843,493603,,blocked_ball,,,,,13,Conner Capel strikes out swinging.,R,L,R,OAK,NYM,B,,,1,2,2023,1.6,-0.38,-1.42,0.71,642180,,676116,2,8,Bot,,,,,682626,,,-0.030247253,-115.2197137,-2.624871351,14.13733847,23.10603582,-35.26657576,3.39,1.67,,,,79.7,2749,6.8,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.7,,,,,,,,66,6,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,63,0.028,-0.048
ST,4/15/23,79.6,-2.86,5.33,"Ottavino, Adam",668843,493603,,foul,,,,,5,Conner Capel strikes out swinging.,R,L,R,OAK,NYM,S,,,1,1,2023,1.69,0.4,0.25,2.4,642180,,676116,2,8,Bot,,,,,682626,,,3.68126393,-115.8648239,-0.345816722,14.24173816,24.6903622,-28.75844916,3.39,1.67,121,56.5,65,79.7,2750,6.7,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.84,,,,,,,,66,3,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,65,0,-0.089
ST,4/15/23,78.2,-3.03,5.41,"Ottavino, Adam",668843,493603,,called_strike,,,,,1,Conner Capel strikes out swinging.,R,L,R,OAK,NYM,S,,,1,0,2023,1.82,0.11,-0.47,3.19,642180,,676116,2,8,Bot,,,,,682626,,,2.177830489,-113.8933149,1.94289837,15.36056442,22.00602261,-31.86000018,3.39,1.67,,,,78.8,2775,6.8,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.7,,,,,,,,66,2,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,65,0,-0.067
ST,4/15/23,81.4,-2.89,5.24,"Ottavino, Adam",649557,493603,field_out,hit_into_play,,,,,6,Aledmys Diaz pops out to catcher Francisco Alvarez in foul territory.,R,R,R,OAK,NYM,X,2,popup,0,1,2023,1.52,0.01,0.31,2.96,,642180,,1,8,Bot,147.08,214.72,,,682626,,,4.275514988,-118.3905878,1.528108062,13.34562955,24.07348905,-32.66971809,3.52,1.72,54,67.1,82,81.5,2717,6.5,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.98,0.003,0.003,0,1,0,0,3,64,2,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,68,-0.097,-0.262
ST,4/15/23,79.5,-3,5.24,"Ottavino, Adam",657656,493603,,foul,,,,,8,"Ramon Laureano grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,R,OAK,NYM,S,,,1,0,2023,0.99,-0.22,-0.18,1.62,,642180,,0,8,Bot,,,,,682626,,,4.379764253,-115.7649768,-0.751223321,8.009768806,22.50678752,-34.20295409,3.27,1.51,2,106,-33,80.3,2845,6.9,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.62,,,,,,,,63,2,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,67,0,-0.181
ST,4/15/23,81.4,-2.99,5.24,"Ottavino, Adam",667670,493603,walk,ball,,,,,14,Brent Rooker walks.,R,R,R,OAK,NYM,B,,,3,2,2023,1.33,0.44,1.91,1.09,,,,0,8,Bot,,,,,682626,,,8.541106192,-118.2785264,-3.523577506,10.72336591,24.10578547,-27.57892477,3.53,1.68,,,,82.1,2791,7,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.48,,,0.7,1,0,0,,62,9,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,71,0.098,0.313
ST,4/15/23,80.4,-3.01,5.23,"Ottavino, Adam",667670,493603,,foul,,,,,1,Brent Rooker walks.,R,R,R,OAK,NYM,S,,,2,2,2023,1.04,0.07,-0.42,3.25,,,,0,8,Bot,,,,,682626,,,3.796454449,-117.1526105,2.14711413,8.920413776,21.07892463,-32.11907934,3.53,1.68,211,72.2,43,81.3,2780,6.7,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.79,,,,,,,,62,7,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,73,0,0
ST,4/15/23,80.1,-3.06,5.28,"Ottavino, Adam",667670,493603,,foul,,,,,6,Brent Rooker walks.,R,R,R,OAK,NYM,S,,,2,2,2023,1.35,0.25,0.54,2.32,,,,0,8,Bot,,,,,682626,,,5.454472153,-116.5556939,-0.314504626,11.31959702,21.18999142,-30.07956728,3.53,1.68,200,70.3,44,80.9,2781,6.7,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.76,,,,,,,,62,6,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,68,0,0
ST,4/15/23,81.4,-2.88,5.26,"Ottavino, Adam",667670,493603,,ball,,,,,14,Brent Rooker walks.,R,R,R,OAK,NYM,B,,,1,2,2023,1.62,0.68,2.56,1.54,,,,0,8,Bot,,,,,682626,,,9.163353755,-118.2025073,-3.015728184,13.30023285,23.9785464,-25.3859106,3.53,1.68,,,,81.9,2808,6.9,718565,493603,682626,624413,643446,641645,596019,592192,607043,516782,53.61,,,,,,,,62,5,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,66,0,0.041
